scorer,DeepCut_resnet50_frontslowmoJun5shuffle1_28000,DeepCut_resnet50_frontslowmoJun5shuffle1_28000,DeepCut_resnet50_frontslowmoJun5shuffle1_28000,DeepCut_resnet50_frontslowmoJun5shuffle1_28000,DeepCut_resnet50_frontslowmoJun5shuffle1_28000,DeepCut_resnet50_frontslowmoJun5shuffle1_28000,DeepCut_resnet50_frontslowmoJun5shuffle1_28000,DeepCut_resnet50_frontslowmoJun5shuffle1_28000,DeepCut_resnet50_frontslowmoJun5shuffle1_28000,DeepCut_resnet50_frontslowmoJun5shuffle1_28000,DeepCut_resnet50_frontslowmoJun5shuffle1_28000,DeepCut_resnet50_frontslowmoJun5shuffle1_28000
bodyparts,LeftHand,LeftHand,LeftHand,RightHand,RightHand,RightHand,Nose,Nose,Nose,Pellet,Pellet,Pellet
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
69,908.054076436907,465.41861963272095,0.0033128855284303427,905.1204962730408,463.75709891319275,0.015423220582306385,843.9070522561669,490.2461179494858,0.003785608569160104,851.6471210420132,487.23859548568726,0.008509279228746891
70,880.1430253982544,859.3603050708771,0.0059595853090286255,984.3519518375397,505.98328852653503,0.09193960577249527,984.6918914318085,507.1116864681244,0.01095083449035883,990.3761112689972,510.10320591926575,0.018156034871935844
71,1021.7010713815689,572.2684718668461,0.0020890962332487106,1017.4744398593903,572.7443137764931,0.03193876892328262,1018.7642121315002,572.0777608528733,0.006682980339974165,1023.5100455284119,575.8511862754822,0.006036296486854553
72,1468.81980997324,237.81522703170776,0.006730010267347097,974.9768648147583,755.185265660286,0.012056550942361355,1469.1241714954376,240.0925726890564,0.07289669662714005,1471.487420797348,238.7850272655487,0.008083656430244446
73,1469.4673589468002,235.9752920717001,0.004683591891080141,921.1764988899231,610.9139080047607,0.03154178336262703,1468.0142029169947,233.08478951454163,0.03276726230978966,836.3683341741562,519.3574335575104,0.0161015372723341
74,924.504372894764,610.7288117408752,0.0014567481121048331,958.6952493190765,756.7205441594124,0.03083075024187565,1454.1073596477509,204.6846358180046,0.011513672769069672,834.2652854919434,521.2734131813049,0.013448826037347317
75,1197.5197516679764,253.6421184539795,0.017406851053237915,839.3484830856323,528.0866804122925,0.013719899579882622,1198.7961115837097,259.5878974199295,0.4979984164237976,1199.4074609279633,255.53275513648987,0.016159050166606903
76,960.0846757888794,233.18605375289917,0.012713145464658737,958.9724140167236,233.54856777191162,0.16086964309215546,1165.5083894729614,193.03316593170166,0.14720381796360016,795.2306495308876,192.32336807250977,0.012498041614890099
77,1163.3628368377686,456.26290130615234,0.024107923731207848,1159.8886275291443,458.6655158996582,0.025266606360673904,1319.24604845047,850.8901147842407,0.018809020519256592,1160.9694409370422,461.7123454809189,0.005517708603292704
78,1068.673654794693,736.979829788208,0.046318475157022476,1067.4242104291916,736.2395896911621,0.01529049314558506,1067.8764501586556,735.2845509052277,0.031743261963129044,1068.587147295475,734.011236667633,0.020345117896795273
